,기상번호,시도코드,일시,평균기온(°C),최저기온(°C),최고기온(°C),평균 풍속(m/s),최다풍향(16방위),평균 현지기압(hPa),SO2,CO,O3,NO2,PM10,PM25
15402,4720160228,47,20160228,4.207142857142856,-0.42857142857142855,11.1,2.228571428571428,249.28571428571428,1005.0714285714287,0.004597304,0.624509804,0.03512037,0.017003906000000003,64.29069767,46.89361702
15403,4720160229,47,20160229,-1.885714285714286,-4.835714285714286,1.6857142857142855,4.135714285714285,294.2857142857143,1007.6714285714287,0.004090440999999999,0.409558824,0.040025463,0.009858073,44.18138425,27.70833333
15404,4720160301,47,20160301,-1.4928571428571429,-7.485714285714287,4.121428571428571,2.907142857142857,282.14285714285717,1011.257142857143,0.003903186,0.40490196100000003,0.037208332999999996,0.012609068999999999,33.99019608,25.02564103
15405,4720160302,47,20160302,3.085714285714286,-4.214285714285714,11.142857142857144,2.3357142857142863,266.42857142857144,1009.6999999999997,0.0046315,0.4935,0.034080189,0.020896500000000002,42.775,32.83333333
15406,4720160303,47,20160303,5.914285714285714,-2.2214285714285715,15.542857142857144,1.6928571428571428,210.7142857142857,1009.1357142857139,0.005308883,0.592639594,0.028751196,0.027777918999999998,47.45685279,36.28888889
15407,4720160304,47,20160304,6.9071428571428575,0.5928571428571427,12.192857142857141,1.3071428571428572,153.57142857142858,1011.6857142857143,0.0042570329999999995,0.6907928390000001,0.019741546000000002,0.027704859,53.86567164,40.72340426
15408,4720160305,47,20160305,10.364285714285714,7.0857142857142845,14.085714285714285,1.6214285714285714,217.85714285714286,1006.8142857142856,0.0036053920000000002,0.625980392,0.028002315,0.019411765,42.03271028,29.89361702
15409,4720160306,47,20160306,11.392857142857144,4.792857142857144,16.8,2.2428571428571424,216.42857142857144,1002.9857142857144,0.0034522059999999998,0.562162162,0.029856481,0.016269533,32.31775701,19.40909091
15410,4720160307,47,20160307,8.321428571428571,1.9857142857142855,14.557142857142859,1.6214285714285712,218.46153846153842,1003.5714285714283,0.004069779,0.595098039,0.025416667,0.019123529,52.31322506,25.625
15411,4720160308,47,20160308,6.957142857142856,3.6285714285714286,9.857142857142858,2.6357142857142857,277.85714285714283,1005.1214285714284,0.003844416,0.480506329,0.0298,0.019102532,63.93430657,24.125
15412,4720160309,47,20160309,4.292857142857144,1.4214285714285717,9.44285714285714,3.2428571428571433,193.57142857142856,1005.9214285714287,0.0042230390000000005,0.50122549,0.031943627,0.0136375,33.95903614,18.5
15413,4720160310,47,20160310,1.6428571428571428,-1.9214285714285717,6.492857142857143,3.0357142857142856,247.85714285714286,1008.4214285714287,0.003788918,0.428865979,0.033048969,0.012249485,35.93917275,14.11627907
